Year,MNO,Latitude,Longitude,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600
2018,Optus,-34.584209,138.760933,Y,Y,Y,,Y,,,
2018,Optus,-34.85452078,138.5124558,Y,Y,Y,,Y,,Y,
2018,Optus,-34.874597,138.617104,Y,Y,Y,,Y,,Y,
2018,Optus,-35.05511054,138.5103905,Y,Y,Y,,Y,,Y,
2018,Optus,-34.99134202,138.6076087,Y,Y,Y,,Y,,,
2018,Optus,-34.96916075,138.5712446,,Y,,,,,,
2018,Optus,-34.890925,138.56938,Y,Y,Y,,Y,,Y,
2018,Optus,-34.95998568,138.5603466,Y,Y,Y,,Y,,Y,
2018,Optus,-34.978406,138.512539,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.838051,138.622855,Y,Y,Y,,Y,,,
2018,Optus,-34.912272,138.583415,Y,Y,Y,,Y,,Y,
2018,Optus,-35.08488373,138.5438674,Y,Y,Y,,Y,,Y,
2018,Optus,-34.796354,138.647991,Y,Y,Y,,Y,,Y,
2018,Optus,-34.84026051,138.4798257,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.91391629,138.6797498,Y,Y,Y,,Y,,Y,
2018,Optus,-34.897862,138.674162,Y,Y,Y,,Y,,Y,
2018,Optus,-34.767748,138.664305,Y,Y,Y,,Y,,Y,
2018,Optus,-35.18326648,138.4859661,Y,Y,Y,,Y,,Y,
2018,Optus,-35.056261,138.54424,Y,Y,Y,,Y,,Y,
2018,Optus,-35.05311726,138.5733313,Y,Y,,,,,,
2018,Optus,-35.040344,138.556017,Y,Y,Y,,Y,,Y,
2018,Optus,-35.11963189,139.2928267,Y,Y,Y,,,,,Y
2018,Optus,-34.5250537,138.9614954,Y,Y,Y,,Y,,,Y
2018,Optus,-34.91482,138.513146,Y,Y,Y,,Y,,Y,
2018,Optus,-35.00904992,138.6980235,Y,Y,Y,,Y,,,
2018,Optus,-34.84094,138.71117,Y,Y,Y,,Y,,Y,
2018,Optus,-34.842317,138.572078,Y,Y,Y,,Y,,Y,
2018,Optus,-35.026795,138.571675,Y,Y,Y,,Y,,,
2018,Optus,-34.847824,138.486428,Y,Y,Y,,Y,,,
2018,Optus,-35.01206058,138.579334,Y,Y,Y,,Y,,Y,
2018,Optus,-34.95676954,138.6355396,Y,Y,Y,,Y,,Y,
2018,Optus,-34.880392,138.66249,Y,Y,Y,,Y,,Y,
2018,Optus,-34.92415333,138.5992207,Y,Y,,,Y,,Y,Y
2018,Optus,-34.95957934,138.6191743,Y,Y,Y,,Y,,Y,
2018,Optus,-35.167776,138.512765,Y,Y,Y,,Y,,,
2018,Optus,-35.014278,138.556629,Y,Y,Y,,Y,,Y,
2018,Optus,-34.87596963,138.5997245,Y,Y,Y,,Y,,Y,
2018,Optus,-34.871658,138.634122,Y,Y,Y,,Y,,Y,
2018,Optus,-34.91517202,138.6565965,Y,Y,Y,,Y,,Y,
2018,Optus,-34.92771237,138.6046657,Y,Y,Y,,Y,,Y,
2018,Optus,-34.91831086,138.5535853,,Y,,,,,,
2018,Optus,-34.91106665,138.5313531,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.938068,138.499434,Y,Y,Y,,Y,,Y,
2018,Optus,-34.96676487,138.6709738,Y,Y,,,,,,
2018,Optus,-34.97720588,138.6774287,Y,Y,Y,,Y,,Y,
2018,Optus,-34.8861,138.53261,Y,Y,Y,,Y,,Y,
2018,Optus,-34.97741233,138.5382831,Y,Y,Y,,Y,,Y,
2018,Optus,-34.954823,138.606671,Y,Y,Y,,Y,,Y,
2018,Optus,-34.85490386,138.698785,Y,Y,Y,,Y,,Y,
2018,Optus,-34.47663182,138.4029457,Y,,Y,,Y,,,
2018,Optus,-34.77098092,137.8517326,Y,Y,Y,,,,,Y
2018,Optus,-34.90440844,137.7936217,Y,Y,Y,,,,,Y
2018,Optus,-35.07758874,137.7386562,Y,Y,Y,,,,,Y
2018,Optus,-34.85392846,138.6630886,Y,Y,,,Y,,,
2018,Optus,-34.85851009,138.7218972,Y,,,,,,,
2018,Optus,-34.90735954,138.6085961,Y,Y,Y,,Y,,Y,
2018,Optus,-34.81084085,138.4947163,Y,Y,Y,,Y,,,
2018,Optus,-34.667837,138.559757,Y,Y,Y,,Y,,,
2018,Optus,-34.846526,138.590207,Y,Y,Y,,Y,,Y,
2018,Optus,-34.87048997,138.5378619,Y,Y,Y,,Y,,Y,
2018,Optus,-34.79845993,138.4949495,Y,Y,Y,,Y,,Y,
2018,Optus,-34.84836177,138.5975869,Y,Y,Y,,Y,,Y,
2018,Optus,-34.89998032,138.5850619,Y,Y,Y,,Y,,Y,
2018,Optus,-34.92811238,138.5158187,Y,,,,,,,
2018,Optus,-34.968821,138.589312,,Y,,,,,,
2018,Optus,-35.005699,138.572497,Y,Y,Y,,Y,,Y,
2018,Optus,-34.97732111,138.6081909,Y,,,,,,,
2018,Optus,-35.27865369,138.4685583,Y,Y,Y,,Y,,,
2018,Optus,-35.005236,138.783712,Y,Y,Y,,Y,,Y,
2018,Optus,-35.021726,138.6129,Y,Y,Y,,Y,,Y,
2018,Optus,-35.05107317,138.8332064,Y,Y,Y,,Y,,Y,Y
2018,Optus,-35.04409645,138.7647807,Y,Y,Y,,Y,,Y,
2018,Optus,-35.023747,138.914585,Y,Y,Y,,Y,,,Y
2018,Optus,-34.96802533,138.7126953,Y,Y,Y,,Y,,Y,
2018,Optus,-34.81461281,138.6733984,Y,Y,Y,,Y,,Y,
2018,Optus,-32.11860259,133.6840889,Y,Y,Y,,,,,Y
2018,Optus,-34.98847395,137.2639964,Y,,Y,,,,,
2018,Optus,-35.32265315,140.5046652,Y,,Y,,,,,Y
2018,Optus,-35.264564,140.89889,Y,,Y,,,,,Y
2018,Optus,-34.19064373,140.2644074,Y,,Y,,,,,
2018,Optus,-35.11443128,138.9663359,Y,,Y,,Y,,,
2018,Optus,-34.791866,138.880103,Y,,Y,,Y,,,Y
2018,Optus,-34.15647893,140.7322237,Y,Y,Y,,,,,Y
2018,Optus,-34.48107491,138.9580141,Y,,Y,,Y,,,Y
2018,Optus,-34.949032,138.889464,Y,Y,Y,,Y,,Y,
2018,Optus,-37.542885,140.811468,Y,,Y,,,,,Y
2018,Optus,-37.72734591,140.569958,Y,,Y,,,,,
2018,Optus,-35.54443863,138.6107105,Y,Y,Y,,,,,Y
